Name,Diocese,Lead,Score,Bulletin PDF,Bulletin URL,Address,Phone,Email,Website,Facebook,Instagram,YouTube,Twitter,Lat,Lng
"Saint Mary's Catholic Church","Archdiocese of New York","Hot Lead","5","Yes","","280, Washington Avenue, Dumont, 07628","+1 201-384-0557","","https://stmarysdumont.org/","Yes","No","No","No","40.9438962","-73.9931377"
"Saint Vincent Catholic Church","Diocese of Fort Lauderdale","Warm Lead","3","No","","6350, Northwest 18th Street, Margate, FL, 33063","","","https://www.stvincentcatholicchurchmargate.org/","Yes","No","Yes","Yes","26.2485047","-80.2102828"
"Saint Matthias Roman Catholic Church","Archdiocese of New York","Warm Lead","3","No","","58-15, Catalpa Avenue, Ridgewood, NY, 11385","+1-718-821-6447","","https://saintmatthiaschurch.net/","Yes","No","No","No","40.7022222","-73.9027778"
"Saint Casimir Catholic Church","Archdiocese of New York","Warm Lead","3","No","","255, Nepperhan Avenue, Yonkers, NY, 10701","+1 914-963-4766","Office@casimir.church","https://casimir.church/index.php","Yes","No","No","No","40.9360091","-73.8921132"
"Church of Saint Martha","Archdiocese of Miami","Warm Lead","2","No","","9301, Biscayne Boulevard, Miami Shores, FL, 33138","+13057510005","","https://stmarthamiami.com/","No","No","No","No","25.8613496","-80.1807111"
"Saint Jude Melkite Greek Catholic Church","Archdiocese of Miami","Warm Lead","2","No","","126, Southeast 15th Road, Miami, FL, 33129","+1-305-856-1500","","http://stjudemiami.org","No","No","No","No","25.7576156","-80.192788"
"Saints Peter and Paul Catholic Church","Archdiocese of Miami","Warm Lead","2","No","","900, Southwest 26th Road, Miami, FL, 33129","+13058582621","","https://www.sppmiami.org/","No","No","No","No","25.7606673","-80.2122836"
"Saint Lawrence Catholic Church","Archdiocese of Miami","Warm Lead","2","No","","2200, Northeast 191st Street, 33180","+1-305-932-3560","Info@stlawrencemiami.org","https://stlawrencemiami.org/","No","No","No","No","25.9512037","-80.1561571"
"Holy Family Catholic Church","Archdiocese of Miami","Warm Lead","2","No","","14500, Northeast 11th Avenue, North Miami, FL, 33161","+13059475043","","https://www.holyfamilynorthmiami.com/","No","No","No","No","25.9104042","-80.1768355"
"St Joseph Catholic Church","Archdiocese of Miami","Warm Lead","2","No","","8675, Byron Avenue, Miami Beach, FL, 33141","+1-305-866-6567","","http://www.stjosephmiamibeach.com/","No","No","No","No","25.8722595","-80.1235338"
"Our Lady of La Vang Catholic Church","Diocese of Fort Lauderdale","Warm Lead","2","No","","123, Northwest 6th Avenue, Hallandale Beach, FL, 33009","+1-954-374-9100","gxdmlvmiami@gmail.com","https://www.giaoxuducmelavangmiami.org","No","No","No","No","25.9866847","-80.1546501"
"Our Lady Queen of Heaven","Diocese of Fort Lauderdale","Warm Lead","2","No","","1400, State Road 7, North Lauderdale, FL, 33068","+1 954 971-5400","olqh@bellsouth.net","http://olqhcc.org/","No","No","No","No","26.2096411","-80.2032632"
"Saint Matthews Church","Diocese of Fort Lauderdale","Warm Lead","2","No","","542, Blue Heron Drive, Hallandale Beach, FL, 33009","+1-954-458-1590","","https://www.smatt.org/","No","No","No","No","25.9830906","-80.1331725"
"Little Flower Catholic Church","Diocese of Fort Lauderdale","Warm Lead","2","No","","1805, Pierce Street, Hollywood, FL, 33020","+19549223517","","https://littleflowerhollywood.org/","No","No","No","No","26.0165075","-80.1438034"
"Ascension Catholic Church","Diocese of Orlando","Warm Lead","2","No","","2950, North Harbor City Boulevard, Melbourne, 32935","+1 321-254-1595","","https://www.ascensioncatholic.net/","No","No","No","No","28.154938","-80.641571"
"Holy Name of Jesus","Diocese of Orlando","Warm Lead","2","No","","","","sdonnelly@hnj.org","https://www.hnj.org/","Yes","Yes","No","No","28.1341534","-80.5813532"
"Holy Spirit Catholic Church","Diocese of Orlando","Warm Lead","2","No","","2399, Holder Road, Mims, 32754","+1 321 269 2282","","https://holyspiritmims.com/","No","No","No","No","28.6612005","-80.8648163"
"Saints Peter and Paul Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","","+1 914-668-9815","","https://stspeterpaulandstursula.org/","No","No","No","No","40.9272427","-73.8315623"
"Corpus Christi Catholic Church","Archdiocese of New York","Warm Lead","2","No","","529, West 121st Street, Manhattan, NY, 10027","+1 212-666-9350","","https://ccnd-nyc.org/","No","No","No","No","40.8110236","-73.9608317"
"Saint Aloysius Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","592, Middle Neck Road, Great Neck, 11024","+1 516-482-2770","","http://www.staloysiusgn.org/","No","No","No","No","40.8024113","-73.7364828"
"Our Lady of Sorrows Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","217, Prospect Street, South Orange, 07079","+1 973-763-5454","","https://www.olschurch.com/","No","No","No","No","40.7415192","-74.2591345"
"Queen of Angels Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","44-04, Skillman Avenue, 11104","+1 718-392-0011","","https://www.queenofangelsnyc.org/","No","No","No","No","40.746566","-73.9191563"
"Saint Cyril Catholic Church","Archdiocese of New York","Warm Lead","2","No","","62, Saint Marks Place, 10003","+1 212-674-3442","","http://www.slovenskacerkev-ny.si/","No","No","No","No","40.7278562","-73.9865109"
"St. Mary Star of the Sea Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","471, Court Street, 11231","+1-718-625-2270","","https://www.stmarystarbrooklyn.com","No","No","No","No","40.6766729","-73.9980213"
"Our Lady of Good Counsel Catholic Church","Archdiocese of New York","Warm Lead","2","No","","10, Austin Place, 10304","+1 718-447-1503","","https://olgcsi.org","No","No","No","No","40.631671","-74.0870919"
"Saint Charles Borromeo Church","Archdiocese of New York","Warm Lead","2","No","","","+1-718-625-1177","","https://www.stcharlesbklyn.org/","No","No","No","No","40.6924879","-73.9940226"
"Our Lady of Mount Carmel - Saint Benedicta Catholic Church","Archdiocese of New York","Warm Lead","2","No","","1265, Castleton Avenue, Staten Island, NY, 10310","+1 718-442-3411","","https://olmcsi.org","No","No","No","No","40.6342193","-74.1248403"
"Saint Roch Catholic Church","Archdiocese of New York","Warm Lead","2","No","","602, Port Richmond Avenue, 10302","+1 718-442-4755","","https://stastr.org/","No","No","No","No","40.628553","-74.1422705"
"Our Lady of Pity & Saint Anthony of Padua Catholic Church","Archdiocese of New York","Warm Lead","2","No","","1634, Richmond Avenue, 10314","+1 718-761-5421","","https://stanthonysi.org","No","No","No","No","40.6088481","-74.1620457"
"Holy Rosary Catholic Church","Archdiocese of New York","Warm Lead","2","No","","Jerome Avenue, 10305","+1 718-448-6819","","https://www.hrosarychurch.com/","No","No","No","No","40.5952702","-74.0760013"
"Saint Ann Catholic Church","Archdiocese of New York","Warm Lead","2","No","","103, Cromwell Avenue, 10304","+1 718-351-0270","","https://stannschurchstatenisland.org/","No","No","No","No","40.5912618","-74.0974391"
"Our Lady Queen of Peace Catholic Church","Archdiocese of New York","Warm Lead","2","No","","62, 3rd Street, 10306","+1-718-351-1093","","https://olqpchurch.org/","No","No","No","No","40.5750537","-74.1178094"
"St. Stanislaus Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","101, East 7th Street, New York, NY, 10009","+1 212-475-4576","","https://stanislauschurch.com","No","No","No","No","40.726702","-73.9846106"
"Saint Agnes Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","433, Sackett Street, 11231","+1-718-625-1717","","https://stpaulstagnes-brooklyn.org","No","No","No","No","40.6816615","-73.9907499"
"Saint Charles Catholic Church","Archdiocese of New York","Warm Lead","2","No","","","+1 718-987-2670","","https://stcharlessi.org","No","No","No","No","40.563322","-74.1175059"
"Our Lady Star of the Sea Catholic Church","Archdiocese of New York","Warm Lead","2","No","","5371, Amboy Road, Staten Island, NY, 10312","+1-718-984-0593","","https://olssparish.org/","No","No","No","No","40.5327197","-74.1911647"
"Saint Anselm Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","356, 82nd Street, 11209","+1 718-238-2900","stanselmrectory@aol.com","https://stanselmbayridge.org","No","No","No","No","40.6256628","-74.0278096"
"Our Lady of Angels Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","7312, 4th Avenue, 11209","+1 718-836-7200","","https://ourladyofangelsparish.org","No","No","No","No","40.6321271","-74.0252184"
